//**Error Message,Error Code,Error defined in .h,Error description in Chinese,Error description in English,Is in CIM
//**Common Qlib,,,,,
Qlib_Connect_Phone_Fail,QLIB0000,ERR_QLIB_PHONE_CONNECT,Qlib 函数 Qlib_Connect_Phone 执行失败,Function Qlib_Connect_Phone execute fail,Y
DVICWC04_Device_WCDMA_Calibration_Fail,DVICWC04,ERR_DEVICE_WCDMA_Calibration,WCDMA TXRXAlign 校验中测试仪器操作失败,Test device fail when WCDMA calibration TXRXAlign,N
DVICWC06_Device_WCDMA_Calibration_Fail,DVICWC06,ERR_DEVICE_WCDMA_Calibration,WCDMA XOCoarse 校验中测试仪器操作失败,Test device fail when WCDMA calibration XOCoarse,N
DVICWC07_Device_WCDMA_Calibration_Fail,DVICWC07,ERR_DEVICE_WCDMA_Calibration,WCDMA XOFine 校验中测试仪器操作失败,Test device fail when WCDMA calibration XOFine,N
DVICWC99_Device_WCDMA_Calibration_Fail,DVICWC99,ERR_DEVICE_WCDMA_Calibration,WCDMA校验结束时测试仪器操作失败,Test device fail when WCDMA end calibration,N
//**WCDMA Test Device error,,,,,
DVICWT00_Device_WCDMA_Test_Fail,DVICWT00,ERR_DEVICE_WCDMA_Test,WCDMA测试开始初始化时测试仪器操作失败,Test device fail when WCDMA test initial,N
DVICWT01_Device_WCDMA_Test_Fail,DVICWT01,ERR_DEVICE_WCDMA_Test,WCDMA测试建call时测试仪器操作失败,Test device fail when WCDMA test start call,N
DVICWT02_Device_WCDMA_Test_Fail,DVICWT02,ERR_DEVICE_WCDMA_Test,WCDMA测试 Max Power 测试仪器操作失败,Test device fail when WCDMA test Max Power,N
DVICWT03_Device_WCDMA_Test_Fail,DVICWT03,ERR_DEVICE_WCDMA_Test,WCDMA测试 Min Power 测试仪器操作失败,Test device fail when WCDMA test Min Power,N
DVICWT04_Device_WCDMA_Test_Fail,DVICWT04,ERR_DEVICE_WCDMA_Test,WCDMA测试 EVM RMS Avg 测试仪器操作失败,Test device fail when WCDMA test EVM RMS Avg,N
DVICWT05_Device_WCDMA_Test_Fail,DVICWT05,ERR_DEVICE_WCDMA_Test,WCDMA测试 FrequencyError 测试仪器操作失败,Test device fail when WCDMA test FrequencyError,N
DVICWT06_Device_WCDMA_Test_Fail,DVICWT06,ERR_DEVICE_WCDMA_Test,WCDMA测试 TransTimeError 测试仪器操作失败,Test device fail when WCDMA test TransTimeError,N
DVICWT07_Device_WCDMA_Test_Fail,DVICWT07,ERR_DEVICE_WCDMA_Test,WCDMA测试 EMASK 测试仪器操作失败,Test device fail when WCDMA test EMASK,N
DVICWT10_Device_WCDMA_Test_Fail,DVICWT10,ERR_DEVICE_WCDMA_Test,WCDMA测试 OBW 测试仪器操作失败,Test device fail when WCDMA test OBW,N
DVICWT11_Device_WCDMA_Test_Fail,DVICWT11,ERR_DEVICE_WCDMA_Test,WCDMA测试 BER测试仪器操作失败,Test device fail when WCDMA test BER,N
DVICWT12_Device_WCDMA_Test_Fail,DVICWT12,ERR_DEVICE_WCDMA_Test,WCDMA测试 Rx Level测试仪器操作失败,Test device fail when WCDMA test Rx Level,N
DVICWT14_Device_WCDMA_Test_Fail,DVICWT14,ERR_DEVICE_WCDMA_Test,WCDMA测试 ILPC_E 测试仪器操作失败,Test device fail when WCDMA test ILPC_E,N
DVICWT15_Device_WCDMA_Test_Fail,DVICWT15,ERR_DEVICE_WCDMA_Test,WCDMA测试 ILPC_F 测试仪器操作失败,Test device fail when WCDMA test ILPC_F,N
DVICWT20_Device_WCDMA_Test_Fail,DVICWT20,ERR_DEVICE_WCDMA_Test,WCDMA测试 ACLR_-10 测试仪器操作失败,Test device fail when WCDMA test ACLR_-10,N
DVICWT21_Device_WCDMA_Test_Fail,DVICWT21,ERR_DEVICE_WCDMA_Test,WCDMA测试 ACLR_-5 测试仪器操作失败,Test device fail when WCDMA test ACLR_-5,N
DVICWT22_Device_WCDMA_Test_Fail,DVICWT22,ERR_DEVICE_WCDMA_Test,WCDMA测试 ACLR_5 测试仪器操作失败,Test device fail when WCDMA test ACLR_5,N
DVICWT23_Device_WCDMA_Test_Fail,DVICWT23,ERR_DEVICE_WCDMA_Test,WCDMA测试 ACLR_10 测试仪器操作失败,Test device fail when WCDMA test ACLR_10,N
DVICWT91_Device_WCDMA_Test_Fail,DVICWT91,ERR_DEVICE_WCDMA_Test,WCDMA测试 TxCurrent 测试仪器操作失败,Test device fail when WCDMA test TxCurrent,N
DVICWT98_Device_WCDMA_Test_Fail,DVICWT98,ERR_DEVICE_WCDMA_Test,WCDMA测试 Handover 测试仪器操作失败,Test device fail when WCDMA test handover,N
DVICWT99_Device_WCDMA_Test_Fail,DVICWT99,ERR_DEVICE_WCDMA_Test,WCDMA测试结束时测试仪器操作失败,Test device fail when WCDMA end test,N
//**CDMA CAL Device error,,,,,
DVICCC00_Device_CDMA_Calibration_Fail,DVICCC00,ERR_DEVICE_CDMA_Calibration,CDMA校验初始化时测试仪器操作失败,Test device fail when CDMA calibration initial,N
DVICCC01_Device_CDMA_Calibration_Fail,DVICCC01,ERR_DEVICE_CDMA_Calibration,CDMA TXLin 校验中测试仪器操作失败,Test device fail when CDMA calibration TXLin,N
DVICCC02_Device_CDMA_Calibration_Fail,DVICCC02,ERR_DEVICE_CDMA_Calibration,CDMA TXRXAlign 校验中测试仪器操作失败,Test device fail when CDMA calibration TXRXAlign,N
DVICCC03_Device_CDMA_Calibration_Fail,DVICCC03,ERR_DEVICE_CDMA_Calibration,CDMA RxIntelliceiver 校验中测试仪器操作失败,Test device fail when CDMA calibration RxIntelliceiver,N
DVICCC04_Device_CDMA_Calibration_Fail,DVICCC04,ERR_DEVICE_CDMA_Calibration,CDMA XOCoarse 校验中测试仪器操作失败,Test device fail when CDMA calibration XOCoarse,N
DVICCC05_Device_CDMA_Calibration_Fail,DVICCC05,ERR_DEVICE_CDMA_Calibration,CDMA XOFine 校验中测试仪器操作失败,Test device fail when CDMA calibration XOFine,N
DVICCC99_Device_CDMA_Calibration_Fail,DVICCC99,ERR_DEVICE_CDMA_Calibration,CDMA校验结束时测试仪器操作失败,Test device fail when CDMA end calibration,N
//**CDMA Test Device error,,,,,
DVICCT00_Device_CDMA_Test_Fail,DVICCT00,ERR_DEVICE_CDMA_Test,CDMA测试开始初始化时测试仪器操作失败,Test device fail when CDMA test initial,N
DVICCT01_Device_CDMA_Test_Fail,DVICCT01,ERR_DEVICE_CDMA_Test,CDMA测试建call时测试仪器操作失败,Test device fail when CDMA test start call,N
DVICCT02_Device_CDMA_Test_Fail,DVICCT02,ERR_DEVICE_CDMA_Test,CDMA测试 WaveformQuality 测试仪器操作失败,Test device fail when CDMA test Waveform Quality,N
DVICCT03_Device_CDMA_Test_Fail,DVICCT03,ERR_DEVICE_CDMA_Test,CDMA测试 FrequencyError 测试仪器操作失败,Test device fail when CDMA test Frequency Error,N
DVICCT04_Device_CDMA_Test_Fail,DVICCT04,ERR_DEVICE_CDMA_Test,CDMA测试 TimeError 测试仪器操作失败,Test device fail when CDMA test Time Error,N
DVICCT05_Device_CDMA_Test_Fail,DVICCT05,ERR_DEVICE_CDMA_Test,CDMA测试 CarrierFeedthrough 测试仪器操作失败,Test device fail when CDMA test Carrier Feedthrough,N
DVICCT06_Device_CDMA_Test_Fail,DVICCT06,ERR_DEVICE_CDMA_Test,CDMA测试 PhaseError 测试仪器操作失败,Test device fail when CDMA test Phase Error,N
DVICCT07_Device_CDMA_Test_Fail,DVICCT07,ERR_DEVICE_CDMA_Test,CDMA测试 MagnitudeError 测试仪器操作失败,Test device fail when CDMA test Magnitude Error,N
DVICCT08_Device_CDMA_Test_Fail,DVICCT08,ERR_DEVICE_CDMA_Test,CDMA测试 EVM 测试仪器操作失败,Test device fail when CDMA test EVM,N
DVICCT09_Device_CDMA_Test_Fail,DVICCT09,ERR_DEVICE_CDMA_Test,CDMA测试 TxCurrent 测试仪器操作失败,Test device fail when CDMA test Tx Current,N
DVICCT10_Device_CDMA_Test_Fail,DVICCT10,ERR_DEVICE_CDMA_Test,CDMA测试 RangeCloseLoopPowerCtrl 测试仪器操作失败,Device fail when CDMA test Range Close Loop Power Control,N
DVICCT11_Device_CDMA_Test_Fail,DVICCT11,ERR_DEVICE_CDMA_Test,CDMA测试 CDPower 测试仪器操作失败,Test device fail when CDMA test CDPower,N
DVICCT12_Device_CDMA_Test_Fail,DVICCT12,ERR_DEVICE_CDMA_Test,CDMA测试 TimeTolerance 测试仪器操作失败,Test device fail when CDMA test Time Tolerance,N
DVICCT13_Device_CDMA_Test_Fail,DVICCT13,ERR_DEVICE_CDMA_Test,CDMA测试 PhaseTolerance 测试仪器操作失败,Test device fail when CDMA test Phase Tolerance,N
DVICCT14_Device_CDMA_Test_Fail,DVICCT14,ERR_DEVICE_CDMA_Test,CDMA测试 MinPower 测试仪器操作失败,Test device fail when CDMA test Min Power,N
DVICCT15_Device_CDMA_Test_Fail,DVICCT15,ERR_DEVICE_CDMA_Test,CDMA测试 MaxPower 测试仪器操作失败,Test device fail when CDMA test Max Power,N
DVICCT16_Device_CDMA_Test_Fail,DVICCT16,ERR_DEVICE_CDMA_Test,CDMA测试 RxSensitivity 测试仪器操作失败,Test device fail when CDMA test Rx Sensitivity,N
DVICCT17_Device_CDMA_Test_Fail,DVICCT17,ERR_DEVICE_CDMA_Test,CDMA测试 RxDynamicRange 测试仪器操作失败,Test device fail when CDMA test Rx DynamicRange,N
DVICCT18_Device_CDMA_Test_Fail,DVICCT18,ERR_DEVICE_CDMA_Test,CDMA测试 ACP_-2 测试仪器操作失败,Test device fail when CDMA test ACP_-2,N
DVICCT19_Device_CDMA_Test_Fail,DVICCT19,ERR_DEVICE_CDMA_Test,CDMA测试 ACP_+2 测试仪器操作失败,Test device fail when CDMA test ACP_+2,N
DVICCT20_Device_CDMA_Test_Fail,DVICCT20,ERR_DEVICE_CDMA_Test,CDMA测试 ACP_-4 测试仪器操作失败,Test device fail when CDMA test ACP_-4,N
DVICCT21_Device_CDMA_Test_Fail,DVICCT21,ERR_DEVICE_CDMA_Test,CDMA测试 ACP_+4 测试仪器操作失败,Test device fail when CDMA test ACP_+4,N
DVICCT22_Device_CDMA_Test_Fail,DVICCT22,ERR_DEVICE_CDMA_Test,CDMA测试 CSE 测试仪器操作失败,Test device fail when CDMA test CSE,N
DVICCT98_Device_CDMA_Test_Fail,DVICCT98,ERR_DEVICE_CDMA_Test,CDMA测试 Handover 测试仪器操作失败,Test device fail when CDMA test handover,N
DVICCT99_Device_CDMA_Test_Fail,DVICCT99,ERR_DEVICE_CDMA_Test,CDMA测试结束时测试仪器操作失败,Test device fail when CDMA end test,N
//**EVDO Test Spec,,,,,
V00L002_EVDOTest_Waveform_Quality_Fail,V00L0020,ERR_EVDOTEST_WAVEFORM_QUALITY,EVDOBC0 低频 波形质量因子测试失败,EVDOBC0 Low Channel Waveform quality test fail,Y
V01L002_EVDOTest_Waveform_Quality_Fail,V01L0020,ERR_EVDOTEST_WAVEFORM_QUALITY,EVDOBC1 低频 波形质量因子测试失败,EVDOBC1 Low Channel Waveform quality test fail,Y
V00L003_EVDOTest_Frequency_Fail,V00L0030,ERR_EVDOTEST_FREQUENCY,EVDOBC0 低频 频率误差测试失败,EVDOBC0 Low Channel frequency error test fail,Y
V01L003_EVDOTest_Frequency_Fail,V01L0030,ERR_EVDOTEST_FREQUENCY,EVDOBC1 低频 频率误差测试失败,EVDOBC1 Low Channel frequency error test fail,Y
V00L004_EVDOTest_Time_Error_Fail,V00L0040,ERR_EVDOTEST_TIME_ERROR,EVDOBC0 低频 参考时间误差测试失败,EVDOBC0 Low Channel transmit time error test fail,Y
V01L004_EVDOTest_Time_Error_Fail,V01L0040,ERR_EVDOTEST_TIME_ERROR,EVDOBC1 低频 参考时间误差测试失败,EVDOBC1 Low Channel transmit time error test fail,Y
V00L005_EVDOTest_CarrierFTH_Fail,V00L0050,ERR_EVDOTEST_CARRIERFTH,EVDOBC0 低频 Carrier Feedthrough 测试失败,EVDOBC0 Low Channel Carrier Feedthrough test fail,Y
V01L005_EVDOTest_CarrierFTH_Fail,V01L0050,ERR_EVDOTEST_CARRIERFTH,EVDOBC1 低频 Carrier Feedthrough 测试失败,EVDOBC1 Low Channel Carrier Feedthrough test fail,Y
V00L006_EVDOTest_Phase_Fail,V00L0060,ERR_EVDOTEST_PHASE,EVDOBC0 低频 相位误差测试失败,EVDOBC0 Low Channel phase error test fail,Y
V01L006_EVDOTest_Phase_Fail,V01L0060,ERR_EVDOTEST_PHASE,EVDOBC1 低频 相位误差测试失败,EVDOBC1 Low Channel phase time error test fail,Y
V00L007_EVDOTest_Magnitude_Fail,V00L0070,ERR_EVDOTEST_MAGNITUDE,EVDOBC0 低频 Magnitude error 测试失败,EVDOBC0 Low Channel Magnitude error test fail,Y
V01L007_EVDOTest_Magnitude_Fail,V01L0070,ERR_EVDOTEST_MAGNITUDE,EVDOBC1 低频 Magnitude error 测试失败,EVDOBC1 Low Channel Magnitude error test fail,Y
V00L008_EVDOTest_EVM_Fail,V00L0080,ERR_EVDOTEST_EVM,EVDOBC0 低频 EVM 测试失败,EVDOBC0 Low Channel EVM test fail,Y
V01L008_EVDOTest_EVM_Fail,V01L0080,ERR_EVDOTEST_EVM,EVDOBC1 低频 EVM 测试失败,EVDOBC1 Low Channel EVM test fail,Y
V00L009_EVDOTest_Tx_Curr_Fail,V00L0090,ERR_EVDOTEST_TX_CURR,EVDOBC0 低频 发射电流测试失败,EVDOBC0 Low Channel TX current test fail,Y
V01L009_EVDOTest_Tx_Curr_Fail,V01L0090,ERR_EVDOTEST_TX_CURR,EVDOBC1 低频 发射电流测试失败,EVDOBC1 Low Channel TX current test fail,Y
V00L010_EVDOTest_RCLPC_Fail,V00L0100,ERR_EVDOTEST_RCLPC,EVDOBC0 低频 闭环控制下的输出功率测试失败,EVDOBC0 Low Channel Range of Closed Loop Power Control fail,Y
V01L010_EVDOTest_RCLPC_Fail,V01L0100,ERR_EVDOTEST_RCLPC,EVDOBC1 低频 闭环控制下的输出功率测试失败,EVDOBC1 Low Channel Range of Closed Loop Power Control fail,Y
V00L011_EVDOTest_CDPower_Fail,V00L0110,ERR_EVDOTEST_CDPOWER,EVDOBC0 低频 码域功率测试失败,EVDOBC0 Low Channel code domain power test fail,Y
V01L011_EVDOTest_CDPower_Fail,V01L0110,ERR_EVDOTEST_CDPOWER,EVDOBC1 低频 码域功率测试失败,EVDOBC1 Low Channel code domain power test fail,Y
V00L012_EVDOTest_Time_Tolerance_Fail,V00L0120,ERR_EVDOTEST_TIME_TOLERANCE,EVDOBC0 低频 Time Tolerance 测试失败,EVDOBC0 Low Channel Time Tolerance test fail,Y
V01L012_EVDOTest_Time_Tolerance_Fail,V01L0120,ERR_EVDOTEST_TIME_TOLERANCE,EVDOBC1 低频 Time Tolerance 测试失败,EVDOBC1 Low Channel Time Tolerance test fail,Y
V00L013_EVDOTest_Phase_Tolerance_Fail,V00L0130,ERR_EVDOTEST_PHASE_TOLERANCE,EVDOBC0 低频 Phase Tolerance 测试失败,EVDOBC0 Low Channel Phase Tolerance test fail,Y
V01L013_EVDOTest_Phase_Tolerance_Fail,V01L0130,ERR_EVDOTEST_PHASE_TOLERANCE,EVDOBC1 低频 Phase Tolerance 测试失败,EVDOBC1 Low Channel Phase Tolerance test fail,Y
V00L014_EVDOTest_Min_Power_Fail,V00L0140,ERR_EVDOTEST_MIN_POWER,EVDOBC0 低频 最小输出功率测试失败,EVDOBC0 Low Channel min power test fail,Y
V01L014_EVDOTest_Min_Power_Fail,V01L0140,ERR_EVDOTEST_MIN_POWER,EVDOBC1 低频 最小输出功率测试失败,EVDOBC1 Low Channel min power test fail,Y
V00L015_EVDOTest_Max_Power_Fail,V00L0150,ERR_EVDOTEST_MAX_POWER,EVDOBC0 低频 最大输出功率测试失败,EVDOBC0 Low Channel max power test fail,Y
V01L015_EVDOTest_Max_Power_Fail,V01L0150,ERR_EVDOTEST_MAX_POWER,EVDOBC1 低频 最大输出功率测试失败,EVDOBC1 Low Channel max power test fail,Y
V00L016_EVDOTest_Rx_Sensitivity_Fail,V00L0160,ERR_EVDOTEST_RX_SENSITIVITY,EVDOBC0 低频 接收机灵敏度测试失败,EVDOBC0 Low Channel RX Sensitivity test fail,Y
V01L016_EVDOTest_Rx_Sensitivity_Fail,V01L0160,ERR_EVDOTEST_RX_SENSITIVITY,EVDOBC1 低频 接收机灵敏度测试失败,EVDOBC1 Low Channel RX Sensitivity test fail,Y
V00L017_EVDOTest_Rx_Dynamic_Range_Fail,V00L0170,ERR_EVDOTEST_RX_DYNAMIC_RANGE,EVDOBC0 低频 接收机动态范围测试失败,EVDOBC0 Low Channel RX Dynamic Range test fail,Y
V01L017_EVDOTest_Rx_Dynamic_Range_Fail,V01L0170,ERR_EVDOTEST_RX_DYNAMIC_RANGE,EVDOBC1 低频 接收机动态范围测试失败,EVDOBC1 Low Channel RX Dynamic Range test fail,Y
V00L018_EVDOTest_CSE_Fail,V00L0180,ERR_EVDOTEST_CSE,EVDOBC0 低频 CSE 测试失败,EVDOBC0 Low Channel CSE test fail,Y
V01L018_EVDOTest_CSE_Fail,V01L0180,ERR_EVDOTEST_CSE,EVDOBC1 低频 CSE 测试失败,EVDOBC1 Low Channel CSE test fail,Y
V00M002_EVDOTest_Waveform_Quality_Fail,V00M0020,ERR_EVDOTEST_WAVEFORM_QUALITY,EVDOBC0 中频 波形质量因子测试失败,EVDOBC0 Middle Channel Waveform quality test fail,Y
V01M002_EVDOTest_Waveform_Quality_Fail,V01M0020,ERR_EVDOTEST_WAVEFORM_QUALITY,EVDOBC1 中频 波形质量因子测试失败,EVDOBC1 Middle Channel Waveform quality test fail,Y
V00M003_EVDOTest_Frequency_Fail,V00M0030,ERR_EVDOTEST_FREQUENCY,EVDOBC0 中频 频率误差测试失败,EVDOBC0 Middle Channel frequency error test fail,Y
V01M003_EVDOTest_Frequency_Fail,V01M0030,ERR_EVDOTEST_FREQUENCY,EVDOBC1 中频 频率误差测试失败,EVDOBC1 Middle Channel frequency error test fail,Y
V00M004_EVDOTest_Time_Error_Fail,V00M0040,ERR_EVDOTEST_TIME_ERROR,EVDOBC0 中频 参考时间误差测试失败,EVDOBC0 Middle Channel transmit time error test fail,Y
V01M004_EVDOTest_Time_Error_Fail,V01M0040,ERR_EVDOTEST_TIME_ERROR,EVDOBC1 中频 参考时间误差测试失败,EVDOBC1 Middle Channel transmit time error test fail,Y
V00M005_EVDOTest_CarrierFTH_Fail,V00M0050,ERR_EVDOTEST_CARRIERFTH,EVDOBC0 中频 Carrier Feedthrough 测试失败,EVDOBC0 Middle Channel Carrier Feedthrough test fail,Y
V01M005_EVDOTest_CarrierFTH_Fail,V01M0050,ERR_EVDOTEST_CARRIERFTH,EVDOBC1 中频 Carrier Feedthrough 测试失败,EVDOBC1 Middle Channel Carrier Feedthrough test fail,Y
V00M006_EVDOTest_Phase_Fail,V00M0060,ERR_EVDOTEST_PHASE,EVDOBC0 中频 相位误差测试失败,EVDOBC0 Middle Channel phase error test fail,Y
V01M006_EVDOTest_Phase_Fail,V01M0060,ERR_EVDOTEST_PHASE,EVDOBC1 中频 相位误差测试失败,EVDOBC1 Middle Channel phase time error test fail,Y
V00M007_EVDOTest_Magnitude_Fail,V00M0070,ERR_EVDOTEST_MAGNITUDE,EVDOBC0 中频 Magnitude error 测试失败,EVDOBC0 Middle Channel Magnitude error test fail,Y
V01M007_EVDOTest_Magnitude_Fail,V01M0070,ERR_EVDOTEST_MAGNITUDE,EVDOBC1 中频 Magnitude error 测试失败,EVDOBC1 Middle Channel Magnitude error test fail,Y
V00M008_EVDOTest_EVM_Fail,V00M0080,ERR_EVDOTEST_EVM,EVDOBC0 中频 EVM 测试失败,EVDOBC0 Middle Channel EVM test fail,Y
V01M008_EVDOTest_EVM_Fail,V01M0080,ERR_EVDOTEST_EVM,EVDOBC1 中频 EVM 测试失败,EVDOBC1 Middle Channel EVM test fail,Y
V00M009_EVDOTest_Tx_Curr_Fail,V00M0090,ERR_EVDOTEST_TX_CURR,EVDOBC0 中频 发射电流测试失败,EVDOBC0 Middle Channel TX current test fail,Y
V01M009_EVDOTest_Tx_Curr_Fail,V01M0090,ERR_EVDOTEST_TX_CURR,EVDOBC1 中频 发射电流测试失败,EVDOBC1 Middle Channel TX current test fail,Y
V00M010_EVDOTest_RCLPC_Fail,V00M0100,ERR_EVDOTEST_RCLPC,EVDOBC0 中频 闭环控制下的输出功率测试失败,EVDOBC0 Mid Ch Range of Closed Loop Power Control fail,Y
V01M010_EVDOTest_RCLPC_Fail,V01M0100,ERR_EVDOTEST_RCLPC,EVDOBC1 中频 闭环控制下的输出功率测试失败,EVDOBC1 Mid Ch Range of Closed Loop Power Control fail,Y
V00M011_EVDOTest_CDPower_Fail,V00M0110,ERR_EVDOTEST_CDPOWER,EVDOBC0 中频 码域功率测试失败,EVDOBC0 Middle Channel code domain power test fail,Y
V01M011_EVDOTest_CDPower_Fail,V01M0110,ERR_EVDOTEST_CDPOWER,EVDOBC1 中频 码域功率测试失败,EVDOBC1 Middle Channel code domain power test fail,Y
V00M012_EVDOTest_Time_Tolerance_Fail,V00M0120,ERR_EVDOTEST_TIME_TOLERANCE,EVDOBC0 中频 Time Tolerance 测试失败,EVDOBC0 Middle Channel Time Tolerance test fail,Y
V01M012_EVDOTest_Time_Tolerance_Fail,V01M0120,ERR_EVDOTEST_TIME_TOLERANCE,EVDOBC1 中频 Time Tolerance 测试失败,EVDOBC1 Middle Channel Time Tolerance test fail,Y
V00M013_EVDOTest_Phase_Tolerance_Fail,V00M0130,ERR_EVDOTEST_PHASE_TOLERANCE,EVDOBC0 中频 Phase Tolerance 测试失败,EVDOBC0 Middle Channel Phase Tolerance test fail,Y
V01M013_EVDOTest_Phase_Tolerance_Fail,V01M0130,ERR_EVDOTEST_PHASE_TOLERANCE,EVDOBC1 中频 Phase Tolerance 测试失败,EVDOBC1 Middle Channel Phase Tolerance test fail,Y
V00M014_EVDOTest_Min_Power_Fail,V00M0140,ERR_EVDOTEST_MIN_POWER,EVDOBC0 中频 最小输出功率测试失败,EVDOBC0 Middle Channel min power test fail,Y
V01M014_EVDOTest_Min_Power_Fail,V01M0140,ERR_EVDOTEST_MIN_POWER,EVDOBC1 中频 最小输出功率测试失败,EVDOBC1 Middle Channel min power test fail,Y
V00M015_EVDOTest_Max_Power_Fail,V00M0150,ERR_EVDOTEST_MAX_POWER,EVDOBC0 中频 最大输出功率测试失败,EVDOBC0 Middle Channel max power test fail,Y
V01M015_EVDOTest_Max_Power_Fail,V01M0150,ERR_EVDOTEST_MAX_POWER,EVDOBC1 中频 最大输出功率测试失败,EVDOBC1 Middle Channel max power test fail,Y
V00M016_EVDOTest_Rx_Sensitivity_Fail,V00M0160,ERR_EVDOTEST_RX_SENSITIVITY,EVDOBC0 中频 接收机灵敏度测试失败,EVDOBC0 Middle Channel RX Sensitivity test fail,Y
V01M016_EVDOTest_Rx_Sensitivity_Fail,V01M0160,ERR_EVDOTEST_RX_SENSITIVITY,EVDOBC1 中频 接收机灵敏度测试失败,EVDOBC1 Middle Channel RX Sensitivity test fail,Y
V00M017_EVDOTest_Rx_Dynamic_Range_Fail,V00M0170,ERR_EVDOTEST_RX_DYNAMIC_RANGE,EVDOBC0 中频 接收机动态范围测试失败,EVDOBC0 Middle Channel RX Dynamic Range test fail,Y
V01M017_EVDOTest_Rx_Dynamic_Range_Fail,V01M0170,ERR_EVDOTEST_RX_DYNAMIC_RANGE,EVDOBC1 中频 接收机动态范围测试失败,EVDOBC1 Middle Channel RX Dynamic Range test fail,Y
V00M018_EVDOTest_CSE_Fail,V00M0180,ERR_EVDOTEST_CSE,EVDOBC0 中频 CSE 测试失败,EVDOBC0 Middle Channel CSE test fail,Y
V01M018_EVDOTest_CSE_Fail,V01M0180,ERR_EVDOTEST_CSE,EVDOBC1 中频 CSE 测试失败,EVDOBC1 Middle Channel CSE test fail,Y
V00H002_EVDOTest_Waveform_Quality_Fail,V00H0020,ERR_EVDOTEST_WAVEFORM_QUALITY,EVDOBC0 高频 波形质量因子测试失败,EVDOBC0 High Channel Waveform quality test fail,Y
V01H002_EVDOTest_Waveform_Quality_Fail,V01H0020,ERR_EVDOTEST_WAVEFORM_QUALITY,EVDOBC1 高频 波形质量因子测试失败,EVDOBC1 High Channel Waveform quality test fail,Y
V00H003_EVDOTest_Frequency_Fail,V00H0030,ERR_EVDOTEST_FREQUENCY,EVDOBC0 高频 频率误差测试失败,EVDOBC0 High Channel frequency error test fail,Y
V01H003_EVDOTest_Frequency_Fail,V01H0030,ERR_EVDOTEST_FREQUENCY,EVDOBC1 高频 频率误差测试失败,EVDOBC1 High Channel frequency error test fail,Y
V00H004_EVDOTest_Time_Error_Fail,V00H0040,ERR_EVDOTEST_TIME_ERROR,EVDOBC0 高频 参考时间误差测试失败,EVDOBC0 High Channel transmit time error test fail,Y
V01H004_EVDOTest_Time_Error_Fail,V01H0040,ERR_EVDOTEST_TIME_ERROR,EVDOBC1 高频 参考时间误差测试失败,EVDOBC1 High Channel transmit time error test fail,Y
V00H005_EVDOTest_CarrierFTH_Fail,V00H0050,ERR_EVDOTEST_CARRIERFTH,EVDOBC0 高频 Carrier Feedthrough 测试失败,EVDOBC0 High Channel Carrier Feedthrough test fail,Y
V01H005_EVDOTest_CarrierFTH_Fail,V01H0050,ERR_EVDOTEST_CARRIERFTH,EVDOBC1 高频 Carrier Feedthrough 测试失败,EVDOBC1 High Channel Carrier Feedthrough test fail,Y
V00H006_EVDOTest_Phase_Fail,V00H0060,ERR_EVDOTEST_PHASE,EVDOBC0 高频 相位误差测试失败,EVDOBC0 High Channel phase error test fail,Y
V01H006_EVDOTest_Phase_Fail,V01H0060,ERR_EVDOTEST_PHASE,EVDOBC1 高频 相位误差测试失败,EVDOBC1 High Channel phase time error test fail,Y
V00H007_EVDOTest_Magnitude_Fail,V00H0070,ERR_EVDOTEST_MAGNITUDE,EVDOBC0 高频 Magnitude error 测试失败,EVDOBC0 High Channel Magnitude error test fail,Y
V01H007_EVDOTest_Magnitude_Fail,V01H0070,ERR_EVDOTEST_MAGNITUDE,EVDOBC1 高频 Magnitude error 测试失败,EVDOBC1 High Channel Magnitude error test fail,Y
V00H008_EVDOTest_EVM_Fail,V00H0080,ERR_EVDOTEST_EVM,EVDOBC0 高频 EVM 测试失败,EVDOBC0 High Channel EVM test fail,Y
V01H008_EVDOTest_EVM_Fail,V01H0080,ERR_EVDOTEST_EVM,EVDOBC1 高频 EVM 测试失败,EVDOBC1 High Channel EVM test fail,Y
V00H009_EVDOTest_Tx_Curr_Fail,V00H0090,ERR_EVDOTEST_TX_CURR,EVDOBC0 高频 发射电流测试失败,EVDOBC0 High Channel TX current test fail,Y
V01H009_EVDOTest_Tx_Curr_Fail,V01H0090,ERR_EVDOTEST_TX_CURR,EVDOBC1 高频 发射电流测试失败,EVDOBC1 High Channel TX current test fail,Y
V00H010_EVDOTest_RCLPC_Fail,V00H0100,ERR_EVDOTEST_RCLPC,EVDOBC0 高频 闭环控制下的输出功率测试失败,EVDOBC0 High Channel Range of Closed Loop Power Control fail,Y
V01H010_EVDOTest_RCLPC_Fail,V01H0100,ERR_EVDOTEST_RCLPC,EVDOBC1 高频 闭环控制下的输出功率测试失败,EVDOBC1 High Channel Range of Closed Loop Power Control fail,Y
V00H011_EVDOTest_CDPower_Fail,V00H0110,ERR_EVDOTEST_CDPOWER,EVDOBC0 高频 码域功率测试失败,EVDOBC0 High Channel code domain power test fail,Y
V01H011_EVDOTest_CDPower_Fail,V01H0110,ERR_EVDOTEST_CDPOWER,EVDOBC1 高频 码域功率测试失败,EVDOBC1 High Channel code domain power test fail,Y
